Sample,Therophyte,Geophyte,Hemicryptophyte,Chamephyte,Lianescent,Phanerophyte,Helophyte
DM.1,"5,6","0,0","5,6","11,1","11,1","55,6","5,6"
DM.2,"0,0","7,7","15,4","15,4","7,7","53,8","0,0"
DM.3,"3,8","3,8","15,4","7,7","3,8","53,8","0,0"
Be.1,"19,4","2,8","66,7","0,0","0,0","8,3","2,8"
Be.2,"23,1","0,0","46,2","0,0","7,7","23,1","0,0"
Be.3,"28,0","0,0","64,0","0,0","0,0","8,0","0,0"
La.1,"0,0","20,0","10,0","0,0","10,0","40,0","0,0"
La.2,"6,7","6,7","0,0","6,7","13,3","53,3","0,0"
La.3,"0,0","11,1","0,0","11,1","11,1","55,6","0,0"
Ri.1,"7,7","0,0","53,8","0,0","7,7","30,8","0,0"
Ri.2,"7,1","7,1","42,9","0,0","0,0","35,7","0,0"
Ri.3,"11,1","22,2","33,3","0,0","11,1","22,2","0,0"